ID,Capture_ID,Word_Text,Character_Count,Category,Notes,BBox_X,BBox_Y,BBox_W,BBox_H,Polygon,Crop_File,Crop_Isolated_File,Author,Created_At
w_cap_1787545299532_01_reyes,cap_1787545299532,reyes,5,sustantivo,,173,29,105,53,"[{""x"": 180.83333333333334, ""y"": 29.333318074544273}, {""x"": 173.33333333333334, ""y"": 82.66665140787761}, {""x"": 252.5, ""y"": 81.83331807454428}, {""x"": 278.33333333333337, ""y"": 38.49998474121094}]",w_cap_1787545299532_01_reyes.png,w_cap_1787545299532_01_reyes_iso.png,Wladimir,2026-08-24T04:22:32.732Z
w_cap_1787545299532_02_los,cap_1787545299532,los,3,conector,,125,23,51,39,,w_cap_1787545299532_02_los.png,w_cap_1787545299532_02_los_iso.png,Wladimir,2026-08-24T04:22:59.421Z
w_cap_1787545299532_03_de,cap_1787545299532,de,2,conector,,73,22,48,42,,w_cap_1787545299532_03_de.png,w_cap_1787545299532_03_de_iso.png,Wladimir,2026-08-24T04:23:12.935Z
w_cap_1787545598385_01_Como,cap_1787545598385,Como,4,conector,,1,1,116,52,,w_cap_1787545598385_01_Como.png,w_cap_1787545598385_01_Como_iso.png,Wladimir,2026-08-24T04:27:00.338Z
w_cap_1787545598385_02_dice,cap_1787545598385,dice,4,verbo,,125,9,81,44,,w_cap_1787545598385_02_dice.png,w_cap_1787545598385_02_dice_iso.png,Wladimir,2026-08-24T04:27:11.754Z
w_cap_1787545598385_03_Aristóteles,cap_1787545598385,Aristóteles,11,sustantivo,,221,6,216,51,,w_cap_1787545598385_03_Aristóteles.png,w_cap_1787545598385_03_Aristóteles_iso.png,Wladimir,2026-08-24T04:27:32.387Z
w_cap_1787545710719_01_Schakespeare,cap_1787545710719,Schakespeare,12,sustantivo,,32,2,250,72,"[{""x"": 74.66666666666664, ""y"": 1.9999847412109282}, {""x"": 32.16666666666664, ""y"": 51.166651407877595}, {""x"": 67.16666666666664, ""y"": 61.99998474121093}, {""x"": 164.66666666666666, ""y"": 58.666651407877595}, {""x"": 164.66666666666666, ""y"": 72.83331807454427}, {""x"": 177.99999999999997, ""y"": 73.6666514078776}, {""x"": 193.83333333333331, ""y"": 57.833318074544266}, {""x"": 268.8333333333333, ""y"": 57.833318074544266}, {""x"": 282.16666666666663, ""y"": 8.666651407877595}]",w_cap_1787545710719_01_Schakespeare.png,w_cap_1787545710719_01_Schakespeare_iso.png,Wladimir,2026-08-24T04:29:41.830Z
w_cap_1787545710719_02_y,cap_1787545710719,y,1,general,,283,33,33,45,"[{""x"": 294.6612585967751, ""y"": 32.86649327401563}, {""x"": 285.1266235262619, ""y"": 49.48400011119581}, {""x"": 297.38544004549317, ""y"": 54.659944863760124}, {""x"": 282.67486022241565, ""y"": 75.09130572914559}, {""x"": 290.574986423698, ""y"": 77.54306903299185}, {""x"": 298.4751126249804, ""y"": 75.90856016376101}, {""x"": 315.3650376070324, ""y"": 35.04583843299008}]",w_cap_1787545710719_02_y.png,w_cap_1787545710719_02_y_iso.png,Wladimir,2026-08-24T04:30:22.343Z
w_cap_1787545710719_03_la,cap_1787545710719,la,2,conector,,325,12,46,49,,w_cap_1787545710719_03_la.png,w_cap_1787545710719_03_la_iso.png,Wladimir,2026-08-24T04:30:43.049Z
w_cap_1787545710719_04_problemas,cap_1787545710719,problemas,9,general,,32,108,182,63,"[{""x"": 55.47219469929046, ""y"": 108.12517002060741}, {""x"": 32.35833593839125, ""y"": 170.96597352680214}, {""x"": 54.02757852673426, ""y"": 169.52135735424594}, {""x"": 65.58450790718386, ""y"": 151.46365519729343}, {""x"": 113.25684160153848, ""y"": 146.40749859334673}, {""x"": 210.04612516280392, ""y"": 149.29673093845912}, {""x"": 214.37997368047252, ""y"": 121.12671557361321}, {""x"": 145.0383973977749, ""y"": 121.84902365989132}, {""x"": 146.55512655396868, ""y"": 112.99401330409958}, {""x"": 141.55512655396868, ""y"": 112.79401330409958}, {""x"": 134.35512655396866, ""y"": 120.59401330409958}, {""x"": 124.75512655396867, ""y"": 117.59401330409958}, {""x"": 124.72891039276371, ""y"": 108.6596351237617}]",w_cap_1787545710719_04_problemas.png,w_cap_1787545710719_04_problemas_iso.png,Wladimir,2026-08-24T04:31:46.698Z
